text,predicted_emotion,emotion
i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness,sadness
i feel a little nervous i go to the gym,fear,fear
i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy,joy
i can t stop the anxiety i feel when i m alone when i ve got no distractions,anger,sadness
im trying to feel out my house style now that im living on my own and have creative carte blanche,joy,joy
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,love,sadness
i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,sadness,sadness
i have a good feeling about this so i am excited,joy,joy
i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,love,sadness
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,anger,anger
i woke up yesterday monday morning feeling a little depressed,sadness,sadness
i feel so embarrassed,sadness,sadness
i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,anger,joy
i can honestly say that after each sistahs chat i feel invigorated and blessed,joy,joy
i still feel stupid to be in that class this is all cause off pbss fault,anger,sadness
i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,anger,surprise
i admit im feeling a little bit unloved at this point,sadness,sadness
i feel a bit stressed even though all the things i have going on are fun,sadness,anger
im feeling pretty anxious,fear,fear
i feel shocked and sad at the fact that there are so many sick people,sadness,surprise
i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,love,joy
i feel like a naughty school girl because i am falling behind,love,love
i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,fear,surprise
i can feel that they are kind friendly and can understand my feelings,joy,joy
i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,love,love
i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,anger,anger
i feel transcendant and splendid,joy,joy
i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,sadness,sadness
i am feeling totally relaxed and comfy,fear,joy
i want each of you to feel my gentle embrace,love,love
i feel privileged in my world,joy,joy
i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,anger,anger
i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,sadness,sadness
i suppose i feel too trusting sometimes,joy,joy
i came home waiting for the shower read something which made me upset thats why i feel discontent haha,sadness,sadness
i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,sadness,sadness
i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,love,joy
i am feeling so happy,joy,joy
i am running at an approximate minute pace which i feel is quite acceptable,love,joy
i feel so disappointed when my ex girlfriend doesn t call me back,sadness,sadness
i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,joy,joy
i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,fear,fear
i just plain feel envious of the self confidence they had,anger,anger
i was feeling weird the other day and it went away about minutes after i took my metformin,fear,fear
when a friend dropped a frog down my neck,anger,anger
im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,anger,anger
i love neglecting this blog but sometimes i feel for my faithful readers,love,love
i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,fear,sadness
i feel my heart is tortured by what i have done,fear,anger
i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,love,sadness
i feel needy but comfortable with it i feel vulnerable but secure i feel the urge to cum hard but i get no relief,fear,sadness
i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,fear,sadness
i started out feeling discouraged this morning,sadness,sadness
i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,anger,fear
i grab it from the air its smooth frame feels cold to the touch,anger,anger
i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,anger,anger
i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,anger,joy
i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,fear,joy
i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear,fear
im feeling pretty disheartened by the whole thing,sadness,sadness
i feel that an input from me will be valued as being less potent than say that of irfan pathan,joy,joy
i feel is he generous,joy,love
i even feel a little shaky,fear,fear
i am feeling better though i dont sound it,sadness,joy
i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,love,sadness
i feel our world then was a much more innocent place,joy,joy
i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,joy,joy
im not feeling anything suspicious really,fear,fear
i was feeling a little sentimental today,sadness,sadness
i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,love,joy
i feel less whiney since the sun came out here in the sf area,sadness,sadness
made a wonderfull new friend,love,joy
i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,love,sadness
i know its easy to feel a little envious of me and i cant tell you that you shouldnt,anger,anger
i would feel awful if she was here this whole time,sadness,sadness
i feel very mislead by someone that i really really thought i knew and liked very much so,anger,love
i feel like we are doomed us humans,sadness,sadness
i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,fear,fear
i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,anger,sadness
ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,sadness,sadness
i feel that this information is vital to moving on with your day and you re not complete until you read it,joy,joy
im feeling generous today heres one more you may have already seen but is good for a chuckle,joy,love
i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,fear,sadness
i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,anger,anger
i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,anger,anger
i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,anger,joy
i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,fear,fear
i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger,anger
i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,love,sadness
i feel radiant bright accomplished and happy,joy,joy
i feel refrigerator magnets that were so popular a few years ago,joy,joy
i am feeling very touch deprived with all that has been happening,sadness,sadness
i am feeling apprehensive about it but also wildly excited,fear,fear
i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,fear,joy
i am a quiet person but what i have to say i feel is important,anger,joy
i think i started to feel a little homesick,sadness,sadness
i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,anger,joy
i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,fear,fear
im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,fear,fear
i feel that i need to know that i can depend on myself before i put myself in the position of supporting someone else and being supported by someone else,love,love
im feeling rather angsty and listless,sadness,sadness
i try my best to love on them shed some light but i feel deeply compassionate with their problems and hurt even if its someone in the media,love,love
i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,fear,surprise
i feel gloomy and tired,sadness,sadness
i really like this person feel that the question was really asked out of a sincere place of love and concern about how to move forward in light of what the sexuality study recently a href http www,love,joy
i would force myself to eat my normal routine clean meals a day but then i just started feeling so awful,sadness,sadness
i feel rather privileged to have witnessed the great man in action it really was impossible for a novice like me to work out just which one of the four identical looking riders was he,love,joy
i feel like im at the spa getting a wonderful facial when i use them,anger,joy
i feel petty all of a sudden,anger,anger
i hope you like this more honest amp raw blog post amp if you are feeling unhappy i hope this makes you feel less alone,sadness,sadness
i feel slightly disgusted as well,anger,anger
i was quite surprised with the weather these past few days but im so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,anger,anger
i feel slightly relaxed being a,joy,joy
i feel shy to admit that i was struggling to haul a single computer up,fear,fear
i just went about my script of would you like mustard or sauce with that and started to feel really startled,fear,fear
i enjoy my colleagues i m not feeling very sociable today,joy,joy
im feeling and if ive liked being pregnant,sadness,love
i then feel your tender touch as you enfold me with his love,love,love
i lost a few people which i hate because i have a really hard time letting go of people to whom i feel loyal,love,love
i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,sadness,sadness
i feel i m being nutritionally supportive of it as well,joy,love
i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,anger,anger
i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,anger,joy
i have to admit i feel amused when i see the pti jamiat and a whole lot of others in the media try to avoid the suggestion that they are actually protesting the use of sharia in the case of raymond davis s release,love,joy
i feel embarrassed that it got so bad,sadness,sadness
im feeling really bitter about this one,anger,anger
i feel brave today heading to amman and beirut by way of istanbul or i feel brave today a href http jessicadickinsongoodman,joy,joy
i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,joy,joy
i feel like a loser everyone says they lost but i dont i know exactly where i am i just hate being here oh,sadness,sadness
i feel defeated but others i feel refreshed,sadness,sadness
i was feeling particularly vulnerable in a specific area so i began to talking to my friends and interestingly enough there was an incredible understanding of my struggle,fear,fear
i go onto the officer down memorial page and reflect on my feelings about that wonderful officer which seems to make me feel a little better,fear,joy
im with a group of people i still feel isolated and on the outside looking in,sadness,sadness
i feel blessed to know this family,love,love
i feel terrified because my landlord has not changed our locks yet,fear,fear
i am loosing out but i feel like i have have so much to share with many and if anything that is not unfortunate if anything it makes me grateful,sadness,sadness
i don t like eating meals that feel too virtuous,joy,joy
i left feeling pretty thrilled for the opportunity to at least throw my name in the hat,joy,joy
i feel kinda weird when andrea tries to talk to me about chris,fear,fear
i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,anger,anger
i feel was pretty triumphant,joy,joy
im enjoying my solitary confinement at home i rarely feel lonely,anger,sadness
i am being over dramatic but i do feel very strongly for her and i am resolved to speak with her next chance i get,anger,joy
i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger,anger
i feel so lousy but i shouldnt be focusing on me now,sadness,sadness
i cant remember ever feeling so exhausted it took trips with the car on the last day to get everything brought to the trailer,sadness,sadness
i wrote two years ago so many things i feel unsure of maybe,fear,fear
i feel suspicious of informality and a lack of credentials,fear,fear
i receive every month make me proud and feel appreciative,joy,joy
i feel that third situation pretty much sums up my feelings toward this title,sadness,joy
i wanted to feel him in my hands and reached out to take him into my waiting eager mouth,anger,joy
i feel more gentle that way wth,love,love
i got home feeling hot tired and great,love,love
i feel more creative,joy,joy
i feel so talented i can use a computer,joy,joy
i feel unfathomably rich in having had a healthy pregnancy so far,joy,joy
i wish to know whether i should feel sympathetic towards the airline american if say their plane is on fire or their pilot has exploded or whether i should want to set them on fire if say they just decided to walk on their obligations to save money,love,love
i don t want them to feel so pressured,fear,fear
i still feel frightened of the world yet no where near as much as i used to,fear,fear
im not feeling mellow,joy,joy
i wake too early so i feel grumpy,anger,anger
i believe you all will come to my work place and just try to make me feel humiliated but you know what deep down in my heart i know who is the one who should be ashamed of themselves,sadness,sadness
i did finally get it if you didn t laugh left me feeling delighted exhausted and just so privileged,joy,joy
i was remembering this i was feeling skeptical,fear,fear
i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,joy,joy
i feel dirty talking to people for my personal gain,sadness,sadness
i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,anger,anger
i feel numb as i carry on and i wonder if i will get over it,sadness,sadness
i was somewhat coerced into this blog review so i feel a bit rushed and flustered,anger,anger
i guess i wont feel too jealous since i often do my mothering at the pool but its nice to have a husband again,anger,anger
im not sure how i feel about needing to exercise so as to maintain a pleasant demeanor,joy,joy
i feel alarmed,fear,fear
i think i wanted audiences to feel impressed inspired or entertained when i was on stage,fear,surprise
i wasnt feeling well yesterday morning afternoon so i just laid in bed and ended up in the all too familiar youtube black hole,sadness,joy
i have these terrible feelings that i hyped myself up to be more talented than i am,joy,joy
i do take on a half marathon challenge then i will wait and see how the body feels as to whether there will be a pb attempt or a casual kilometre shuffle,fear,joy
i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself,anger,anger
i feel like i cant be respected if i have self respect because it is so regular to now hate your self,anger,joy
i smiled at him feeling his longing and said maybe later buddy but i have to make lunch now,love,love
i am truly unfortunate the majority of the time i m usually drained but i obtain it hard to get from bed i really feel restless and others,sadness,fear
i am feeling rather damaged,sadness,sadness
i said i feel ugly today,sadness,sadness
i left my garmin on my bike so i was going to have to do this by feel coming out of transition its amazing hearing cheers and your adrenaline is just going crazy,fear,joy
i feel so smart when i find ways to trick myself like this,joy,joy
i love to dance but often feel inhibited by my own body unsure what i am capable of hyper concerned about other people watching me and having opinions on my style or just feeling awkward as if i have no idea what i am supposed to do here,fear,fear
i feel like cards are the perfect thing to make with them,joy,joy
i feel like some heroine of some tragic manga,sadness,sadness
i just feel safer than working part time casual at hr,joy,joy
i was ambushed again it was apparently my fault again i feel worthless,sadness,sadness
i feel privileged to be a part of something so eternal and so precious to the lord jesus he shed his blood so that churches like this could exist,love,joy
i feel wholly inadequate to the task before me,sadness,sadness
i have a feeling this is a bit naughty scanning an article from a magazine but i know that so many people would love to read thi,love,love
i see you on the pitchers mound at our little league diamond i feel so anxious for you because it looks so isolated over there,fear,fear
i feel like i am joining the masses which goes against my rebellion of the popular mentality ha i m so goth but i take peace in knowing that i am not making the same resolutions as everyone else,anger,joy
i feel disillusioned with the occult so i have come to feel a greater connection to the earth,sadness,sadness
i feel stupid whenever this happens,sadness,sadness
i come home and feel so shitty i cant bring myself to do all the work i need to do,sadness,sadness
i feel like my irritable sensitive combination skin has finally met it s match,anger,anger
i like it though its very over the top but makes me feel clever by association,joy,joy
i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,joy,surprise
i feel like it was all in vain cant be right and feel this wrong this heart of mine is just,sadness,sadness
i hope everyone can help with charity work without feeling stressed about such things,sadness,sadness
i feel so guilty for putting my child in daycare,sadness,sadness
i get frustrated that unresolved issues from my past have had a severe negative effect on my behavior and feel he must be angry that i have not resolved them by now,anger,anger
i feel blessed beyond blessed to share my life with you each week,love,love
i feel devastated over things that i have lost i will remind myself to be grateful for what i still have,sadness,sadness
im feeling energetic,joy,joy
i have come to understand that feelings are neither positive nor negative,anger,joy
i just don t like to be asked about the reason behind my mood when i m feeling gloomy laughs,anger,sadness
i feel really bothered about the lack of time i get to find inspiration,anger,anger
i used to be able to hang around talk with the cashier when i was putting away my money now i feel rushed and stressed if i take a second to fumble with the coins and put them in my purse,anger,anger
i feel frustrated or the world around me lies shattered i just go and walk in the rain so that no body could see my eyes full of tears this is the delivery system of justice as conceptualized by our courts which we are learning the hard way,fear,anger
i realized what i am passionate about helping women feel accepted and appreciated,love,joy
i could change the emphasis and say i am stella and i m noticing i m feeling impatient,anger,anger
i don t like outsourcing because i m a picky sod and usually end up feeling dissatisfied with the work of others but i have to force myself to outsource because you need to realize you can t do everything yourself,anger,anger
i feel so blessed and honored that we get to be its parents,joy,love
i do feel welcomed but it s a little weird,fear,joy
i feel like i entertained sd all day,joy,joy
ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,anger,anger
i remember sitting out on the porch feeling drained and alone even as sunlight bathed my hair in warm radiance and a light breeze cooled my cheeks,love,sadness
i didnt feel i rushed things dhawan tweet script type text javascript src http platform,anger,anger
i realized i was feeling really irritated while i was saying that,anger,anger
i am balancing on my hands with my feet hanging over and it feels like pretty far and im terrified to let them drop but im totally calm at the same time hanging here,fear,fear
i feel so fucking worthless,sadness,sadness
i feel like a lot of men are royally fucked up and go through life wreaking havoc and end up destroying themselves in the process,anger,anger
i feel devastated that my art style can be copied,sadness,sadness
i feel fine about feeling well fine,joy,joy
i can only begin to feel how distraught she must be,fear,fear
i also didnt feel i could be mad at god because i know inside me that god does nothing without a purpose,anger,anger
i think we were both feeling a little drained from work as well,sadness,sadness
i gather supplies and start to check her progress via internal exam the head midwife prepares to start an iv and calmly asks others for more assistance i feel reassured by her calmness,fear,joy
i feel crappy i eat crappy,sadness,sadness
i feel more of numb now,sadness,sadness
i feel extremely honoured to have received such a prestigious award,joy,joy
im feeling adventurous and successful in my quest so far,joy,joy
i feel so thrilled to have three such distinguished individuals such as yourselves here,joy,joy
i figured my parents wont make me feel accepted so i stopped trying i turned to romantic relationships with men,love,love
i was left feeling empty,sadness,sadness
i feel pretty much like this scene from a href http www,sadness,joy
i may not have really been feeling superior but i certainly was feeling that i had the answers wasnt i,joy,joy
i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,fear,surprise
i feel like a wimpy canoe floating towards a rising tsunami,love,fear
i feel sympathetic towards her she was tired and weary and i can see how a split second doubt could make the effortless action of standing still seem like the better option,love,love
i start to feel unloved and unappreciated,sadness,sadness
i just want to know the feeling of loving and be loved,love,love
i feel strange talking about less serious things right now like cooking,fear,fear
i sometimes have urges to just freak out because i feel so bothered and usually nothing has caused me to feel bothered or irritated i scratch my arms when i m mad,anger,anger
i feel miserable and he doesnt care,sadness,sadness
i am not surprised cause its like ok when you feel crappy and it just continues for like days or so you really try to avoid getting that sickness again,sadness,sadness
im feeling slightly irritable today,anger,anger
i like to add things that i already completed in my day to a new list just to feel more productive when i cross them off,fear,joy
i always feel rushed during these emails which i dont like but asa este,anger,anger
i feel like now its more of sweet apple now,joy,love
i was so impressed with the show especially for hs and i was moved by these talented kids but then again i feel very passionate about productions and music and theatre in schools so i am always happy to endorse many hs productions throughout their seasons during this time,love,love
i feel like i should be supporting them somehow but im not sure how,love,joy
i have a lot going on in my life and feel overwhelmed,fear,fear
i took for granted a few weeks ago is really weird and makes me feel really agitated and frustrated,fear,anger
i also know what it feels like to be in a relationship where you feel like a burden and too much and not worth loving or pursuing and its just,love,love
i know what you mean about feeling agitated,anger,fear
i am feeling pressured to blog the bad,fear,fear
i feel like being sociable and just aaaah,joy,joy
i didnt feel at all deprived having it in my chai this morning,sadness,sadness
i was feeling very unsure of myself and at near breaking point,fear,fear
i remember leaving church feeling invigorated every sunday and tuesday night,joy,joy
i will nolonger tell anybody how i feel or what im thinking cause all it seems to do is get me more hated than i already am,anger,sadness
i asked her what she meant by shes gonna feel jealous having loada of girls over me and then she said maybee i do like you a bitt,anger,anger
i feel that i am supporting the troops by demanding that we not send our young men and women into harm s way to bear arms against a country that has done nothing to threaten us at any point,anger,love
i feel all funny sometimes,surprise,surprise
i am feeling crampy and cranky,anger,anger
i indicated then i was feeling quite overwhelmed with work responsibilities teaching traveling and writing,fear,fear
i just say that i am not even feeling embarrassed when i pause and rewind my dvred commercials if the breaking dawn preview comes on,sadness,sadness
i spend a lot of time feeling disappointed with myself for not doing a better job at attaining my goals,sadness,sadness
i feel stressed but i love the feeling of the calming spirit of my heavenly father and the feeling to keep working,anger,sadness
i feel more thankful being greeted by many friends and families,love,joy
i no longer feel doomed to falling into the abyss with no way out,sadness,sadness
i bought it at urban outfitters so it could fit mm film and have been feeling remorseful ever since,love,sadness
i just can t feel accepted,joy,love
ive a feeling briar beagle would give me one of her disgusted looks if i even tried exercising her in these souless surroundings,anger,anger
i just need to accept to be treated like a princess everyday without feeling dumb about the situation,love,sadness
i just got up from a nap feeling really rotten so exhausted that i feel like i could just wilt onto the floor just sitting here,sadness,sadness
i feel very indecisive about it,fear,fear
i feel if the pressure vessel has been seriously damaged then far more radiation would have leaked he said,fear,sadness
i have better things to do than to feel humiliated,sadness,sadness
i feel check the wonder in all that you see you ve got to get loving unconditionally,love,love
ive been feeling a bit melancholy,sadness,sadness
i believe that feeling accepted in a non judgemental way can be healing,love,joy
i do feel stressed,sadness,sadness
i feel benevolent enough to buy them some peanuts and other treats,joy,joy
i feel fine class pin it button count layout horizontal pin it,anger,joy
i feel so worthless and useless these past weeks just because im a certified by stander at home,sadness,sadness
i feel immensely distracted by the barrage of media i receive solicit,anger,anger
ive been feeling from my adoring fans that would be teh whole like of you who are my friends here i felt brave and excited and ventrured forth with guitar in hand to a local open mic night,love,love
i love and captured an atmospheric feeling in their landscapes that really impressed me,surprise,surprise
is hand started fondling his aching cock through the fabric of his boxers and he instinctively arched his back to feel more of the delicious sensation,love,joy
i am feeling energized productive and creative,joy,joy
i am feeling lucky to have him,joy,joy
i feel is vital to keeping my spirit young even as my body fades,joy,joy
i feel agitated and annoyed more than worried or fearful but these feelings can easily lead to being short tempered with my family and feelings of disharmony,anger,fear
i still feel scared every time i go into a strange place,fear,fear
i don t feel the author s talented,joy,joy
i feel so jaded and bored,sadness,sadness
im pretty sure and its been about a week and a half so although im feeling kind of betrayed and disillusioned by men at the moment everythings okay,sadness,sadness
i feel like ive lost my mind,sadness,sadness
i could feel his breath on me and smell the sweet scent of him,love,joy
i could just take my beliefs and feelings and lock them in a safe somewhere until i get my human life squared away i and just about everyone i know would be a lot happier or perhaps not,fear,joy
i am feeling sinfully horny this sunday morning,love,love
i just feel like someone out there has to listen and be sympathetic and then,love,love
ive feeling a little blank and could think of nothing to write about which might be interesting to explore or had my mind captivated,fear,sadness
i feel as the sleep drained from my head i sat up my dog nudging me for affection my wife too has been wanting affection,anger,sadness
i feel to aid other women with infertility disorders this valuable individual guidance is offered for a restricted number of people,fear,joy
i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,anger,anger
im still feeling very emotional,sadness,sadness
im in that last bit of sleep before i get up in the morning i feel like that emotional energy just waits for me,sadness,sadness
i know nothing is going to change even i feel very envious to these people but i cant stop feeling jealous to these people because its a human beings instinct to act so,anger,anger
im happy i feel out of energy and not very inspired to do my crafts,joy,joy
i was struck by the masculine feel of the strong graphics and deep colors in this months painting nighthawks by edward hopper,fear,joy
i feel like youre just not there some body that im trying to be affectionate with it feels like im molesting some stranger i dont even know,love,love
i think it s the opposite i get to feel defeated because i was doing everything possible to keep baby healthy and my sugars in check,fear,sadness
i am trying not to feel bitter but how else can i feel when it seems my desire is pretty much impossible,anger,anger
i feel if i am nagged i stop caring,anger,love
i just feel totally useless today,sadness,sadness
i feel honored to receive the grassroots preservation award,joy,joy
i feel contented just hearing him said that hellip,joy,joy
i am reminded of pavement yurusei yatsura and coheed and cambria without feeling offended that they have ripped them off,anger,anger
i feel no positive regard,joy,joy
im feeling a lot less ugly duckling and a lot more a href http,sadness,sadness
i suppose if one was feeling generous one could say i was stressed by the elevator ride,anger,joy
im feeling kind of melancholy and really want to go home and cuddle up with my boys,sadness,sadness
i feel like the people that i myself love want and need don t talk to me and don t connect with me anymore because they have fucked up mental health and emotional problems that i can t help contribute contain understand or encompass,anger,anger
i feel that the suffering is more than i can bear i take refuge in the lord in the blessed sacrament and i speak to him with profound silence,love,sadness
i feel afraid agn lol whats new,fear,fear
i am writing and sharing here is much more about my own story and what i believe with all my heart the world needs to know the riches we have in god than me feeling angry towards or trying to bash the people and leaders and parents,fear,anger
im feeling dazed and alot of things in my mind,anger,surprise
i feel so scared when the voices from there start to speak to me,fear,fear
i feel very honoured to have been part of the bond family and very much hope i have a chance to work with them again sometime in the future,joy,joy
i feel insulted pete edochie responds to death,anger,anger
i feel but not to such a hostile extent,anger,anger
i always feel so pressured,fear,fear
i electrocuted my thumb and i cant type too well because i cant really you know feel some of my fingers as an acceptable excuse for a late paper,anger,joy
i carried my phone in my pocket and didn t feel the pull to get lost in it,anger,sadness
i sit here writing this i feel unhappy inside,sadness,sadness
i could feel my mother s sympathetic dread as i was diagnosed,love,love
i get disappointed it makes me feel so rejected especially being disappointed by a loved one,sadness,sadness
i left there feeling brow beaten,sadness,sadness
i am feeling vulnerable nervous worried anxious and a bit lost,fear,fear
i was feeling defeated i usually pick things up easily this way but i just wasn t getting it,anger,sadness
